Temperature;Humidity;Pressure;Time
15.66;63.08;986.57;4650
15.66;63.69;986.63;4680
15.64;63.88;986.63;4710
15.63;64.27;986.52;4740
15.62;62.67;986.55;4770
15.64;64.21;986.60;4800
15.63;63.20;986.58;4830
15.62;63.17;986.53;4860
15.62;64.12;986.59;4890
15.62;62.86;986.64;4920
15.62;61.09;986.61;4950
15.63;63.44;986.64;4980
15.63;63.84;986.52;5010
15.64;64.13;986.56;5040
15.61;63.66;986.66;5070
15.62;63.78;986.55;5100
15.61;63.71;986.60;5130
15.62;63.32;986.61;5160
15.61;64.03;986.60;5190
15.61;62.86;986.62;5220
15.61;64.32;986.61;5250
15.61;63.98;986.65;5280
15.61;63.11;986.64;5310
15.62;63.37;986.60;5340
15.6;63.90;986.58;5370
15.61;63.90;986.53;5400
15.6;63.19;986.58;5430
15.61;64.16;986.68;5460
15.6;63.17;986.60;5490
15.59;63.13;986.53;5520
15.59;64.61;986.60;5550
15.59;64.18;986.65;5580
15.6;63.10;986.61;5610
15.59;64.37;986.61;5640
15.57;63.78;986.54;5670
15.6;64.13;986.52;5700
15.58;63.69;986.55;5730
15.58;64.41;986.58;5760
15.58;63.82;986.55;5790
15.57;63.57;986.60;5820
15.56;63.80;986.48;5850
15.56;63.46;986.61;5880
15.56;63.04;986.55;5910
15.55;63.90;986.59;5940
15.54;63.62;986.54;5970
15.54;63.54;986.57;6000
15.55;63.54;986.53;6030
15.56;63.44;986.55;6060
15.53;63.46;986.50;6090
15.53;63.47;986.58;6120
15.52;63.20;986.50;6150
15.52;63.30;986.49;6180
15.52;63.34;986.50;6210
15.5;63.06;986.56;6240
15.5;63.34;986.52;6270
15.5;63.06;986.49;6300
15.48;62.81;986.49;6330
15.48;63.27;986.51;6360
15.49;64.05;986.55;6390
15.49;63.05;986.55;6420
15.49;63.06;986.51;6450
15.48;63.09;986.51;6480
15.47;63.45;986.52;6510
15.48;63.21;986.60;6540
15.47;62.50;986.60;6570
15.48;62.92;986.58;6600
15.49;62.73;986.65;6630
15.47;62.29;986.62;6660
15.47;62.87;986.59;6690
15.46;62.92;986.54;6720
15.46;61.80;986.62;6750
15.47;61.67;986.62;6780
15.46;62.26;986.58;6810
15.47;62.12;986.59;6840
15.46;63.71;986.58;6870
15.47;62.03;986.56;6900
15.46;62.90;986.58;6930
15.45;63.16;986.61;6960
15.44;62.95;986.63;6990
15.43;62.58;986.56;7020
15.42;61.84;986.49;7050
15.42;62.18;986.64;7080
15.42;61.97;986.51;7110
15.42;63.60;986.57;7140
15.41;63.23;986.54;7170
15.42;62.46;986.51;7200
15.42;63.20;986.57;7230
15.43;63.37;986.56;7260
15.43;62.41;986.53;7290
15.43;62.17;986.60;7320
15.4;62.36;986.52;7350
15.43;62.46;986.52;7380
15.41;62.33;986.49;7410
15.41;61.70;986.51;7440
15.42;63.14;986.52;7470
15.42;62.30;986.51;7500
15.42;62.22;986.56;7530
15.41;62.66;986.59;7560
15.39;62.10;986.49;7590
15.41;62.11;986.48;7620
15.37;62.21;986.52;7650
15.37;63.15;986.47;7680
15.38;63.73;986.46;7710
15.39;62.65;986.52;7740
15.39;62.28;986.53;7770
15.4;62.48;986.52;7800
15.38;61.50;986.56;7830
15.39;62.04;986.51;7860
15.38;62.02;986.53;7890
15.39;62.74;986.51;7920
15.39;61.77;986.57;7950
15.4;61.72;986.53;7980
15.4;61.51;986.56;8010
15.4;62.33;986.55;8040
15.38;61.74;986.50;8070
15.39;61.90;986.60;8100
15.4;61.48;986.53;8130
15.39;62.09;986.63;8160
15.38;61.77;986.49;8190
15.38;61.68;986.55;8220
15.38;62.75;986.56;8250
15.4;62.44;986.57;8280
15.38;61.64;986.55;8310
15.39;61.16;986.56;8340
15.35;61.45;986.56;8370
15.37;61.76;986.58;8400
15.37;62.41;986.51;8430
15.38;61.32;986.54;8460
15.37;62.00;986.56;8490
15.39;61.32;986.58;8520
15.38;61.72;986.58;8550
15.38;61.51;986.55;8580
15.39;61.87;986.59;8610
15.39;62.34;986.53;8640
15.39;61.36;986.54;8670
15.37;61.98;986.58;8700
15.34;61.67;986.63;8730
15.37;61.86;986.62;8760
15.36;61.43;986.53;8790
15.37;61.38;986.60;8820
15.37;60.84;986.58;8850
15.36;61.82;986.54;8880
15.35;61.01;986.62;8910
15.34;61.73;986.56;8940
15.35;61.66;986.58;8970
15.34;60.75;986.62;9000
15.35;60.53;986.51;9030
15.36;61.69;986.55;9060
15.37;61.67;986.62;9090
15.35;61.17;986.61;9120
15.36;61.18;986.56;9150
15.35;61.43;986.61;9180
15.34;61.59;986.60;9210
15.35;61.02;986.56;9240
15.35;61.92;986.50;9270
15.37;60.83;986.59;9300
15.34;61.58;986.66;9330
15.35;61.53;986.65;9360
15.34;61.44;986.56;9390
15.33;60.48;986.60;9420
15.35;62.11;986.68;9450
15.35;60.60;986.65;9480
15.32;60.99;986.62;9510
15.34;61.22;986.62;9540
15.33;61.20;986.66;9570
15.34;60.64;986.63;9600
15.33;60.92;986.53;9630
15.33;60.94;986.59;9660
15.32;60.90;986.56;9690
15.33;61.21;986.66;9720
15.31;60.44;986.65;9750
15.3;61.00;986.63;9780
15.31;60.84;986.61;9810
15.31;60.35;986.64;9840
15.29;59.73;986.62;9870
15.3;60.83;986.60;9900
15.3;61.61;986.60;9930
15.28;60.78;986.62;9960
15.32;61.24;986.63;9990
15.32;60.99;986.65;10020
15.32;61.16;986.65;10050
15.31;59.84;986.58;10080
15.32;60.38;986.53;10110
15.31;61.30;986.62;10140
15.31;62.34;986.63;10170
15.32;60.60;986.61;10200
15.32;60.51;986.56;10230
15.31;59.99;986.67;10260
15.31;60.47;986.60;10290
15.28;60.19;986.56;10320
15.31;59.53;986.58;10350
15.3;61.25;986.61;10380
15.32;60.77;986.52;10410
15.31;60.00;986.55;10440
15.31;60.27;986.60;10470
15.32;60.41;986.52;10500
15.3;60.93;986.57;10530
15.3;60.02;986.57;10560
15.3;61.14;986.49;10590
15.3;60.38;986.52;10620
15.3;60.52;986.59;10650
15.29;60.43;986.53;10680
15.29;59.89;986.52;10710
15.29;60.69;986.50;10740
15.28;60.36;986.58;10770
15.28;60.17;986.59;10800
15.28;59.37;986.55;10830
15.29;59.75;986.59;10860
15.3;60.29;986.55;10890
15.3;59.85;986.51;10920
15.3;60.62;986.56;10950
15.29;59.88;986.49;10980
15.29;60.53;986.52;11010
15.29;60.69;986.54;11040
15.28;60.31;986.58;11070
15.28;60.38;986.53;11100
15.27;61.16;986.53;11130
15.28;60.71;986.51;11160
15.26;60.17;986.52;11190
15.29;59.80;986.62;11220
15.29;60.12;986.49;11250
15.3;60.63;986.54;11280
15.28;60.31;986.51;11310
15.29;60.47;986.60;11340
15.28;60.08;986.54;11370
15.26;59.75;986.53;11400
15.28;61.26;986.62;11430
15.29;59.69;986.54;11460
15.28;60.70;986.57;11490
15.26;60.00;986.58;11520
15.28;59.44;986.47;11550
15.28;59.96;986.51;11580
15.28;59.97;986.51;11610
15.27;59.57;986.53;11640
15.24;60.32;986.57;11670
15.24;59.42;986.53;11700
15.26;59.46;986.56;11730
15.28;59.98;986.58;11760
15.29;59.86;986.53;11790
15.28;59.42;986.59;11820
15.29;59.41;986.46;11850
15.28;59.94;986.59;11880
15.28;60.25;986.54;11910
15.29;60.02;986.59;11940
15.28;59.89;986.51;11970
15.28;60.08;986.53;12000
15.28;60.05;986.52;12030
15.29;59.44;986.53;12060
15.28;58.91;986.56;12090
15.28;59.80;986.50;12120
15.28;60.50;986.54;12150
15.28;59.61;986.56;12180
15.28;60.32;986.57;12210
15.27;60.72;986.62;12240
15.28;59.51;986.56;12270
15.27;59.64;986.51;12300
15.28;60.49;986.56;12330
15.28;59.66;986.61;12360
15.28;59.62;986.56;12390
15.26;59.57;986.58;12420
15.28;58.88;986.56;12450
15.29;59.57;986.61;12480
15.29;58.56;986.66;12510
15.28;58.60;986.49;12540
15.28;59.43;986.54;12570
15.27;59.48;986.59;12600
15.27;59.67;986.57;12630
15.26;59.12;986.61;12660
15.27;59.96;986.65;12690
15.27;59.11;986.54;12720
15.28;60.77;986.59;12750
15.27;59.57;986.49;12780
15.27;59.11;986.64;12810
15.27;59.33;986.56;12840
15.25;59.38;986.50;12870
15.25;59.80;986.54;12900
15.24;59.77;986.57;12930
15.25;59.46;986.54;12960
15.23;58.98;986.59;12990
15.23;59.11;986.54;13020
15.23;59.75;986.53;13050
15.23;59.39;986.58;13080
15.22;59.58;986.55;13110
15.22;59.98;986.63;13140
15.23;59.39;986.58;13170
15.23;60.42;986.65;13200
15.21;59.41;986.51;13230
15.23;59.17;986.59;13260
15.24;58.71;986.57;13290
15.24;58.46;986.59;13320
15.24;59.35;986.53;13350
15.24;59.58;986.52;13380
15.24;58.89;986.54;13410
15.24;59.49;986.58;13440
15.23;59.67;986.58;13470
15.23;58.64;986.58;13500
15.23;59.22;986.56;13530
15.23;59.04;986.57;13560
15.24;59.88;986.56;13590
15.24;59.43;986.54;13620
15.24;59.54;986.60;13650
15.24;58.19;986.51;13680
15.24;59.20;986.56;13710
15.24;58.34;986.55;13740
15.24;58.88;986.49;13770
15.23;59.50;986.57;13800
15.21;57.71;986.61;13830
15.22;58.96;986.53;13860
15.24;59.04;986.55;13890
15.23;59.04;986.58;13920
15.22;59.12;986.53;13950
15.23;58.63;986.55;13980
15.23;58.06;986.52;14010
15.22;59.00;986.57;14040
15.23;59.84;986.53;14070
15.22;58.98;986.53;14100
15.22;60.19;986.59;14130
15.22;59.70;986.49;14160
15.22;59.20;986.54;14190
15.24;58.91;986.55;14220
15.23;59.01;986.50;14250
15.22;58.72;986.54;14280
15.23;59.47;986.56;14310
